,Klub,KlubPoziom,KlubNarodowosc,Zawodnik,ZawodnikWiek,ZawodnikPozycja,ZawodnikPozycjaSkrot,ZawodnikNarodowosc,TypOperacji,Pozyskany/Sprzedany,ZawodnikWartoscRynkowa,KlubPowiazany,KlubPowiazanyPoziom,KlubPowiazanyNarodowosc,KwotaOdstepnego
7038,Szachtar Donieck,1.liga,Ukraina,Oleg Kudryk,23,Bramkarz,BRK,Ukraina,koniec wypżyczenia31 lip 2020,Nabytki,300 tys. €,Karpaty Lwów (-2021),,,koniec wypżyczenia31 lip 2020
7039,Szachtar Donieck,1.liga,Ukraina,Valeriy Bondarenko,26,Środkowy obrońca,ŚOB,Ukraina,koniec wypżyczenia31 lip 2020,Nabytki,600 tys. €,Vitoria Guimarães SC,1.liga,Portugalia,koniec wypżyczenia31 lip 2020
7040,Szachtar Donieck,1.liga,Ukraina,Vladyslav Vakula,21,Prawy napastnik,PNP,Ukraina,koniec wypżyczenia29 sty 2021,Nabytki,500 tys. €,Desna Czernigów,1.liga,Ukraina,koniec wypżyczenia29 sty 2021
7041,Szachtar Donieck,1.liga,Ukraina,Olarenwaju Kayode,27,Środkowy napastnik,ŚNP,Nigeria,koniec wypżyczenia3 sie 2020,Nabytki,"3,50 mln €",Gaziantep FK,1.liga,Turcja,koniec wypżyczenia3 sie 2020
7042,Szachtar Donieck,1.liga,Ukraina,Andriy Boryachuk,24,Środkowy napastnik,ŚNP,Ukraina,koniec wypżyczenia3 sie 2020,Nabytki,400 tys. €,Caykur Rizespor,1.liga,Turcja,koniec wypżyczenia3 sie 2020
7043,Szachtar Donieck,1.liga,Ukraina,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,koniec wypżyczenia31 lip 2020,Nabytki,500 tys. €,Lech Poznań,1.liga,Polska,koniec wypżyczenia31 lip 2020
7044,Szachtar Donieck,1.liga,Ukraina,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,koniec wypżyczenia4 sty 2021,Nabytki,500 tys. €,Lech Poznań,1.liga,Polska,koniec wypżyczenia4 sty 2021
7045,Szachtar Donieck,1.liga,Ukraina,Oleg Kudryk,23,Bramkarz,BRK,Ukraina,koniec wypżyczenia5 paź 2020,Nabytki,300 tys. €,FK Mariupol,1.liga,Ukraina,koniec wypżyczenia5 paź 2020
7046,Szachtar Donieck,1.liga,Ukraina,Andriy Boryachuk,24,Środkowy napastnik,ŚNP,Ukraina,koniec wypżyczenia18 sty 2021,Nabytki,400 tys. €,Mezőkövesd Zsóry FC,1.liga,Węgry,koniec wypżyczenia18 sty 2021
7047,Szachtar Donieck,1.liga,Ukraina,Oleksandr Zubkov,23,Prawy napastnik,PNP,Ukraina,"1,50 mln €",Odejścia,"2,00 mln €",Ferencvárosi TC,1.liga,Węgry,"1,50 mln €"
7048,Szachtar Donieck,1.liga,Ukraina,Viktor Kovalenko,24,Ofensywny pomocnik,OPM,Ukraina,600 tys. €,Odejścia,"4,00 mln €",Atalanta BC,1.liga,Włochy,600 tys. €
7049,Szachtar Donieck,1.liga,Ukraina,Taison,33,Lewy napastnik,LNP,Brazylia,bez odstępnego,Odejścia,"7,00 mln €",Internacional Porto Alegre,1.liga,Brazylia,bez odstępnego
7050,Szachtar Donieck,1.liga,Ukraina,Oleg Kudryk,23,Bramkarz,BRK,Ukraina,bez odstępnego,Odejścia,300 tys. €,FK Mariupol,1.liga,Ukraina,bez odstępnego
7051,Szachtar Donieck,1.liga,Ukraina,Vladyslav Vakula,21,Prawy napastnik,PNP,Ukraina,wypożyczenie,Odejścia,500 tys. €,Desna Czernigów,1.liga,Ukraina,wypożyczenie
7052,Szachtar Donieck,1.liga,Ukraina,Artem Bondarenko,19,Ofensywny pomocnik,OPM,Ukraina,wypożyczenie,Odejścia,900 tys. €,FK Mariupol,1.liga,Ukraina,wypożyczenie
7053,Szachtar Donieck,1.liga,Ukraina,Danylo Sikan,19,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Odejścia,"1,50 mln €",FK Mariupol,1.liga,Ukraina,wypożyczenie
7054,Szachtar Donieck,1.liga,Ukraina,Olarenwaju Kayode,27,Środkowy napastnik,ŚNP,Nigeria,wypożyczenie,Odejścia,"3,50 mln €",Sivasspor,1.liga,Turcja,wypożyczenie
7055,Szachtar Donieck,1.liga,Ukraina,Wellington Nem,28,Prawy napastnik,PNP,Brazylia,-,Odejścia,650 tys. €,Bez klubuBez klubu,,,-
7056,Szachtar Donieck,1.liga,Ukraina,Andriy Boryachuk,24,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Odejścia,400 tys. €,Mezőkövesd Zsóry FC,1.liga,Węgry,wypożyczenie
7057,Szachtar Donieck,1.liga,Ukraina,Oleg Kudryk,23,Bramkarz,BRK,Ukraina,wypożyczenie,Odejścia,300 tys. €,FK Mariupol,1.liga,Ukraina,wypożyczenie
7058,Szachtar Donieck,1.liga,Ukraina,Oleg Ocheretko,17,Prawy napastnik,PNP,Ukraina,wypożyczenie,Odejścia,500 tys. €,FK Mariupol,1.liga,Ukraina,wypożyczenie
7059,Szachtar Donieck,1.liga,Ukraina,Oleksandr Pikhalyonok,23,Środkowy pomocnik,ŚPM,Ukraina,wypożyczenie,Odejścia,500 tys. €,SK Dnipro-1,1.liga,Ukraina,wypożyczenie
7060,Szachtar Donieck,1.liga,Ukraina,Bogdan Butko,29,Prawy obrońca,POB,Ukraina,wypożyczenie,Odejścia,500 tys. €,Lech Poznań,1.liga,Polska,wypożyczenie
7061,Szachtar Donieck,1.liga,Ukraina,Valeriy Bondarenko,26,Środkowy obrońca,ŚOB,Ukraina,wypożyczenie,Odejścia,600 tys. €,FK Oleksandriya,1.liga,Ukraina,wypożyczenie
7062,Szachtar Donieck,1.liga,Ukraina,Vyacheslav Churko,27,Prawy napastnik,PNP,Ukraina,wypożyczenie,Odejścia,800 tys. €,Kolos Kovalivka,1.liga,Ukraina,wypożyczenie
7063,Szachtar Donieck,1.liga,Ukraina,Bogdan Butko,30,Prawy obrońca,POB,Ukraina,wypożyczenie,Odejścia,500 tys. €,Büyüksehir Belediye Erzurumspor,2.liga,Turcja,wypożyczenie
7064,Szachtar Donieck,1.liga,Ukraina,Andriy Boryachuk,24,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Odejścia,400 tys. €,Rukh Lviv,1.liga,Ukraina,wypożyczenie
7065,Dynamo Kijów,1.liga,Ukraina,Artem Kravets,31,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Nabytki,550 tys. €,Kayserispor,1.liga,Turcja,bez odstępnego
7066,Dynamo Kijów,1.liga,Ukraina,Volodymyr Kostevych,27,Lewy obrońca,LOB,Ukraina,bez odstępnego,Nabytki,700 tys. €,Lech Poznań,1.liga,Polska,bez odstępnego
7067,Dynamo Kijów,1.liga,Ukraina,Tudor Baluta,21,Defensywny pomocnik,DPM,Rumunia,wypożyczenie,Nabytki,"2,00 mln €",Brighton & Hove Albion,1.liga,Anglia,wypożyczenie
7068,Dynamo Kijów,1.liga,Ukraina,Clayton,24,Prawy napastnik,PNP,Brazylia,-,Nabytki,400 tys. €,Bez klubuBez klubu,,,-
7069,Dynamo Kijów,1.liga,Ukraina,Ilya Zabarnyi,17,Środkowy obrońca,ŚOB,Ukraina,-,Nabytki,"11,00 mln €",Dynamo Kijów II,,,-
7070,Dynamo Kijów,1.liga,Ukraina,Oleksandr Syrota,20,Środkowy obrońca,ŚOB,Ukraina,-,Nabytki,"2,00 mln €",Dynamo Kijów II,,,-
7071,Dynamo Kijów,1.liga,Ukraina,Roman Vantukh,22,Lewy obrońca,LOB,Ukraina,-,Nabytki,500 tys. €,Dynamo Kijów II,,,-
7072,Dynamo Kijów,1.liga,Ukraina,Akhmed Alibekov,22,Defensywny pomocnik,DPM,Ukraina,-,Nabytki,300 tys. €,Dynamo Kijów II,,,-
7073,Dynamo Kijów,1.liga,Ukraina,Oleksandr Tymchyk,23,Prawy obrońca,POB,Ukraina,-,Nabytki,"1,20 mln €",Dynamo Kijów II,,,-
7074,Dynamo Kijów,1.liga,Ukraina,Sergiy Buletsa,21,Ofensywny pomocnik,OPM,Ukraina,-,Nabytki,600 tys. €,Dynamo Kijów II,,,-
7075,Dynamo Kijów,1.liga,Ukraina,Bogdan Lednev,22,Ofensywny pomocnik,OPM,Ukraina,-,Nabytki,"2,00 mln €",Dynamo Kijów II,,,-
7076,Dynamo Kijów,1.liga,Ukraina,Ruslan Neshcheret,18,Bramkarz,BRK,Ukraina,-,Nabytki,"1,00 mln €",Dynamo Kijów II,,,-
7077,Dynamo Kijów,1.liga,Ukraina,Vladyslav Dubinchak,23,Lewy obrońca,LOB,Ukraina,-,Nabytki,700 tys. €,Dynamo Kijów II,,,-
7078,Dynamo Kijów,1.liga,Ukraina,Mohammed Kadiri,24,Defensywny pomocnik,DPM,Ghana,koniec wypżyczenia5 sty 2021,Nabytki,"1,20 mln €",Arsenal Tula,1.liga,Rosja,koniec wypżyczenia5 sty 2021
7079,Dynamo Kijów,1.liga,Ukraina,Akhmed Alibekov,22,Defensywny pomocnik,DPM,Ukraina,koniec wypżyczenia25 lut 2021,Nabytki,300 tys. €,FK Ufa,1.liga,Rosja,koniec wypżyczenia25 lut 2021
7080,Dynamo Kijów,1.liga,Ukraina,Vladyslav Supryaga,20,Środkowy napastnik,ŚNP,Ukraina,koniec wypżyczenia31 lip 2020,Nabytki,"6,00 mln €",SK Dnipro-1,1.liga,Ukraina,koniec wypżyczenia31 lip 2020
7081,Dynamo Kijów,1.liga,Ukraina,Gerson Rodrigues,25,Lewy napastnik,LNP,Luksemburg,koniec wypżyczenia16 lip 2020,Nabytki,"3,00 mln €",MKE Ankaragücü,2.liga,Turcja,koniec wypżyczenia16 lip 2020
7082,Dynamo Kijów,1.liga,Ukraina,Denys Garmash,30,Ofensywny pomocnik,OPM,Ukraina,koniec wypżyczenia3 sie 2020,Nabytki,"1,50 mln €",Caykur Rizespor,1.liga,Turcja,koniec wypżyczenia3 sie 2020
7083,Dynamo Kijów,1.liga,Ukraina,Sidcley,27,Lewy obrońca,LOB,Brazylia,koniec wypżyczenia31 gru 2020,Nabytki,"2,50 mln €",Sport Club Corinthians Paulista,1.liga,Brazylia,koniec wypżyczenia31 gru 2020
7084,Dynamo Kijów,1.liga,Ukraina,Mykyta Kravchenko,23,Prawy obrońca,POB,Ukraina,koniec wypżyczenia31 lip 2020,Nabytki,700 tys. €,Olimpik Donieck,2.liga,Ukraina,koniec wypżyczenia31 lip 2020
7085,Dynamo Kijów,1.liga,Ukraina,Nikita Korzun,25,Defensywny pomocnik,DPM,Białoruś,koniec wypżyczenia30 cze 2020,Nabytki,300 tys. €,UD Vilafrankęs,2.liga,Portugalia,koniec wypżyczenia30 cze 2020
7086,Dynamo Kijów,1.liga,Ukraina,Artem Kravets,31,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Odejścia,550 tys. €,Konyaspor,1.liga,Turcja,bez odstępnego
7087,Dynamo Kijów,1.liga,Ukraina,Josip Pivaric,31,Lewy obrońca,LOB,Chorwacja,bez odstępnego,Odejścia,"1,00 mln €",NK Lokomotiva Zagreb,1.liga,Chorwacja,bez odstępnego
7088,Dynamo Kijów,1.liga,Ukraina,Nikita Korzun,25,Defensywny pomocnik,DPM,Białoruś,?,Odejścia,300 tys. €,Shakhtjor Soligorsk,1.liga,Białoruś,?
7089,Dynamo Kijów,1.liga,Ukraina,Fran Sol,28,Środkowy napastnik,ŚNP,Hiszpania,wypożyczenie,Odejścia,"1,00 mln €",CD Tenerife,2.liga,Hiszpania,wypożyczenie
7090,Dynamo Kijów,1.liga,Ukraina,Ibrahim Kargbo Jr.,20,Środkowy napastnik,ŚNP,Belgia,wypożyczenie,Odejścia,300 tys. €,Olimpik Donieck,2.liga,Ukraina,wypożyczenie
7091,Dynamo Kijów,1.liga,Ukraina,Roman Vantukh,22,Lewy obrońca,LOB,Ukraina,wypożyczenie,Odejścia,500 tys. €,FK Oleksandriya,1.liga,Ukraina,wypożyczenie
7092,Dynamo Kijów,1.liga,Ukraina,Georgiy Tsitaishvili,20,Prawy napastnik,PNP,Gruzja,wypożyczenie,Odejścia,"1,20 mln €",Worskła Połtawa,1.liga,Ukraina,wypożyczenie
7093,Dynamo Kijów,1.liga,Ukraina,Artem Shabanov,28,Środkowy obrońca,ŚOB,Ukraina,wypożyczenie,Odejścia,"1,50 mln €",Legia Warszawa,1.liga,Polska,wypożyczenie
7094,Dynamo Kijów,1.liga,Ukraina,Nazariy Rusyn,22,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Odejścia,500 tys. €,Legia Warszawa,1.liga,Polska,wypożyczenie
7095,Dynamo Kijów,1.liga,Ukraina,Akhmed Alibekov,22,Defensywny pomocnik,DPM,Ukraina,wypożyczenie,Odejścia,300 tys. €,FK Ufa,1.liga,Rosja,wypożyczenie
7096,Dynamo Kijów,1.liga,Ukraina,Mohammed Kadiri,24,Defensywny pomocnik,DPM,Ghana,wypożyczenie,Odejścia,"1,20 mln €",Arsenal Tula,1.liga,Rosja,wypożyczenie
7097,Dynamo Kijów,1.liga,Ukraina,Sergiy Buletsa,21,Ofensywny pomocnik,OPM,Ukraina,wypożyczenie,Odejścia,600 tys. €,SK Dnipro-1,1.liga,Ukraina,wypożyczenie
7098,Dynamo Kijów,1.liga,Ukraina,Benito,21,Lewy napastnik,LNP,Nigeria,wypożyczenie,Odejścia,400 tys. €,Olimpik Donieck,2.liga,Ukraina,wypożyczenie
7099,Dynamo Kijów,1.liga,Ukraina,Mykyta Kravchenko,23,Prawy obrońca,POB,Ukraina,wypożyczenie,Odejścia,700 tys. €,Kolos Kovalivka,1.liga,Ukraina,wypożyczenie
7100,Zaria Ługańsk,1.liga,Ukraina,Shahab Zahedi,25,Środkowy napastnik,ŚNP,Iran,300 tys. €,Nabytki,900 tys. €,Olimpik Donieck,2.liga,Ukraina,300 tys. €
7101,Zaria Ługańsk,1.liga,Ukraina,Sergiy Gryn,26,Lewy napastnik,LNP,Ukraina,bez odstępnego,Nabytki,200 tys. €,Vejle Boldklub,1.liga,Dania,bez odstępnego
7102,Zaria Ługańsk,1.liga,Ukraina,Denys Favorov,29,Prawy obrońca,POB,Ukraina,bez odstępnego,Nabytki,"1,50 mln €",Desna Czernigów,1.liga,Ukraina,bez odstępnego
7103,Zaria Ługańsk,1.liga,Ukraina,Juninho,24,Lewy obrońca,LOB,Brazylia,bez odstępnego,Nabytki,800 tys. €,Vardar Skopje,,,bez odstępnego
7104,Zaria Ługańsk,1.liga,Ukraina,Oleksandr Gladkyi,33,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Nabytki,500 tys. €,Adana Demirspor,1.liga,Turcja,bez odstępnego
7105,Zaria Ługańsk,1.liga,Ukraina,Allahyar Sayyadmanesh,19,Środkowy napastnik,ŚNP,Iran,wypożyczenie,Nabytki,"2,00 mln €",Fenerbahce SK,1.liga,Turcja,wypożyczenie
7106,Zaria Ługańsk,1.liga,Ukraina,Yegor Nazaryna,23,Środkowy pomocnik,ŚPM,Ukraina,?,Nabytki,"1,00 mln €",Royal Antwerpia FC,1.liga,Belgia,?
7107,Zaria Ługańsk,1.liga,Ukraina,Denys Yanakov,21,Lewy napastnik,LNP,Ukraina,?,Nabytki,250 tys. €,Dynamo Kijów II,,,?
7108,Zaria Ługańsk,1.liga,Ukraina,Agron Rufati,21,Środkowy obrońca,ŚOB,Macedonia Północna,?,Nabytki,300 tys. €,NK Istra 1961,1.liga,Chorwacja,?
7109,Zaria Ługańsk,1.liga,Ukraina,Tymofiy Sukhar,21,Lewy obrońca,LOB,Ukraina,-,Nabytki,125 tys. €,Zorya Lugansk II,,,-
7110,Zaria Ługańsk,1.liga,Ukraina,Maksim Grechkin,24,Lewy obrońca,LOB,Izrael,wypożyczenie,Nabytki,300 tys. €,Beitar Jerusalem,1.liga,Izrael,wypożyczenie
7111,Zaria Ługańsk,1.liga,Ukraina,Maksym Bilyi,30,Środkowy obrońca,ŚOB,Ukraina,koniec wypżyczenia17 sie 2020,Nabytki,400 tys. €,Rukh Lviv,1.liga,Ukraina,koniec wypżyczenia17 sie 2020
7112,Zaria Ługańsk,1.liga,Ukraina,Vladyslav Yemets,23,Lewy obrońca,LOB,Ukraina,koniec wypżyczenia31 gru 2020,Nabytki,300 tys. €,Kolos Kovalivka,1.liga,Ukraina,koniec wypżyczenia31 gru 2020
7113,Zaria Ługańsk,1.liga,Ukraina,Silas,24,Środkowy pomocnik,ŚPM,Brazylia,koniec wypżyczenia8 lip 2020,Nabytki,250 tys. €,Ironi Kiryat Shmona,1.liga,Izrael,koniec wypżyczenia8 lip 2020
7114,Zaria Ługańsk,1.liga,Ukraina,Rafael Ratão,24,Lewy napastnik,LNP,Brazylia,koniec wypżyczenia30 cze 2020,Nabytki,"1,00 mln €",Slovan Bratislava,1.liga,Słowacja,koniec wypżyczenia30 cze 2020
7115,Zaria Ługańsk,1.liga,Ukraina,Bogdan Mykhaylichenko,23,Lewy obrońca,LOB,Ukraina,500 tys. €,Odejścia,"2,00 mln €",RSC Anderlecht,1.liga,Belgia,500 tys. €
7116,Zaria Ługańsk,1.liga,Ukraina,Yevgen Cheberko,22,Środkowy obrońca,ŚOB,Ukraina,300 tys. €,Odejścia,"1,00 mln €",LASK,1.liga,Austria,300 tys. €
7117,Zaria Ługańsk,1.liga,Ukraina,Sergiy Mayboroda,22,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Odejścia,-,Avangard Kramatorsk,2.liga,Ukraina,bez odstępnego
7118,Zaria Ługańsk,1.liga,Ukraina,Maksym Bilyi,30,Środkowy obrońca,ŚOB,Ukraina,bez odstępnego,Odejścia,400 tys. €,Rukh Lviv,1.liga,Ukraina,bez odstępnego
7119,Zaria Ługańsk,1.liga,Ukraina,Silas,24,Środkowy pomocnik,ŚPM,Brazylia,bez odstępnego,Odejścia,250 tys. €,Dinamo Minsk,1.liga,Białoruś,bez odstępnego
7120,Zaria Ługańsk,1.liga,Ukraina,Zauri Makharadze,27,Bramkarz,BRK,Gruzja,bez odstępnego,Odejścia,300 tys. €,SK Dnipro-1,1.liga,Ukraina,bez odstępnego
7121,Zaria Ługańsk,1.liga,Ukraina,Mihailo Perovic,24,Środkowy napastnik,ŚNP,Czarnogóra,bez odstępnego,Odejścia,100 tys. €,NK Olimpija Ljubljana,1.liga,Słowenia,bez odstępnego
7122,Zaria Ługańsk,1.liga,Ukraina,Igor Chaykovskyi,29,Defensywny pomocnik,DPM,Ukraina,bez odstępnego,Odejścia,200 tys. €,Ingulets Petrowe,1.liga,Ukraina,bez odstępnego
7123,Zaria Ługańsk,1.liga,Ukraina,Rafael Ratão,24,Lewy napastnik,LNP,Brazylia,?,Odejścia,"1,00 mln €",Slovan Bratislava,1.liga,Słowacja,?
7124,Zaria Ługańsk,1.liga,Ukraina,Tymofiy Sukhar,21,Lewy obrońca,LOB,Ukraina,wypożyczenie,Odejścia,125 tys. €,VPK-Agro,2.liga,Ukraina,wypożyczenie
7125,Zaria Ługańsk,1.liga,Ukraina,Mykyta Kamenyuka,35,Prawy obrońca,POB,Ukraina,-,Odejścia,-,,,,-
7126,Zaria Ługańsk,1.liga,Ukraina,Lazio,24,Środkowy obrońca,ŚOB,Brazylia,-,Odejścia,150 tys. €,Bez klubuBez klubu,,,-
7127,Zaria Ługańsk,1.liga,Ukraina,Denys Yanakov,21,Lewy napastnik,LNP,Ukraina,wypożyczenie,Odejścia,250 tys. €,Ingulets Petrowe,1.liga,Ukraina,wypożyczenie
7128,Zaria Ługańsk,1.liga,Ukraina,Maksim Grechkin,24,Lewy obrońca,LOB,Izrael,koniec wypżyczenia8 lut 2021,Odejścia,300 tys. €,Beitar Jerusalem,1.liga,Izrael,koniec wypżyczenia8 lut 2021
7129,Zaria Ługańsk,1.liga,Ukraina,Bogdan Lednev,22,Ofensywny pomocnik,OPM,Ukraina,koniec wypżyczenia31 lip 2020,Odejścia,"2,00 mln €",Dynamo Kijów II,,,koniec wypżyczenia31 lip 2020
7130,Zaria Ługańsk,1.liga,Ukraina,Oleksandr Tymchyk,23,Prawy obrońca,POB,Ukraina,koniec wypżyczenia31 lip 2020,Odejścia,"1,20 mln €",Dynamo Kijów II,,,koniec wypżyczenia31 lip 2020
7131,Desna Czernigów,1.liga,Ukraina,Artem Sukhotskyi,28,Lewy obrońca,LOB,Ukraina,250 tys. €,Nabytki,400 tys. €,Slovan Bratislava,1.liga,Słowacja,250 tys. €
7132,Desna Czernigów,1.liga,Ukraina,Constantin Dima,21,Środkowy obrońca,ŚOB,Rumunia,100 tys. €,Nabytki,600 tys. €,Astra Giurgiu,2.liga,Rumunia,100 tys. €
7133,Desna Czernigów,1.liga,Ukraina,Maksym Degtyarov,27,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Nabytki,400 tys. €,Olimpik Donieck,2.liga,Ukraina,bez odstępnego
7134,Desna Czernigów,1.liga,Ukraina,Yevgeniy Chepurnenko,31,Środkowy pomocnik,ŚPM,Ukraina,bez odstępnego,Nabytki,-,Dinaz Vyshgorod,,,bez odstępnego
7135,Desna Czernigów,1.liga,Ukraina,Denys Bezborodko,26,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Nabytki,700 tys. €,FK Oleksandriya,1.liga,Ukraina,bez odstępnego
7136,Desna Czernigów,1.liga,Ukraina,Pavlo Polegenko,25,Prawy obrońca,POB,Ukraina,bez odstępnego,Nabytki,400 tys. €,FK Mariupol,1.liga,Ukraina,bez odstępnego
7137,Desna Czernigów,1.liga,Ukraina,Vladyslav Vakula,21,Prawy napastnik,PNP,Ukraina,wypożyczenie,Nabytki,500 tys. €,Szachtar Donieck,1.liga,Ukraina,wypożyczenie
7138,Desna Czernigów,1.liga,Ukraina,Ilya Shevtsov,20,Środkowy napastnik,ŚNP,Ukraina,-,Nabytki,300 tys. €,Desna Chernigiv II,,,-
7139,Desna Czernigów,1.liga,Ukraina,Bogdan Biloshevskyi,21,Defensywny pomocnik,DPM,Ukraina,wypożyczenie,Nabytki,200 tys. €,Dynamo Kijów II,,,wypożyczenie
7140,Desna Czernigów,1.liga,Ukraina,Mykhaylo Mudryk,19,Lewy napastnik,LNP,Ukraina,wypożyczenie,Nabytki,900 tys. €,Szachtar Donieck II,,,wypożyczenie
7141,Desna Czernigów,1.liga,Ukraina,Oleksandr Filippov,27,Środkowy napastnik,ŚNP,Ukraina,"1,50 mln €",Odejścia,600 tys. €,VV St. Truiden,1.liga,Belgia,"1,50 mln €"
7142,Desna Czernigów,1.liga,Ukraina,Artur Zapadnya,30,Lewy obrońca,LOB,Ukraina,bez odstępnego,Odejścia,300 tys. €,Metalist 1925 Kharkiv,1.liga,Ukraina,bez odstępnego
7143,Desna Czernigów,1.liga,Ukraina,Dmytro Khlyobas,26,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Odejścia,500 tys. €,Kolos Kovalivka,1.liga,Ukraina,bez odstępnego
7144,Desna Czernigów,1.liga,Ukraina,Sergiy Starenkyi,36,Prawy pomocnik,PPM,Ukraina,bez odstępnego,Odejścia,-,Dinaz Vyshgorod,,,bez odstępnego
7145,Desna Czernigów,1.liga,Ukraina,Denys Favorov,29,Prawy obrońca,POB,Ukraina,bez odstępnego,Odejścia,"1,50 mln €",Zaria Ługańsk,1.liga,Ukraina,bez odstępnego
7146,Desna Czernigów,1.liga,Ukraina,Ilya Shevtsov,20,Środkowy napastnik,ŚNP,Ukraina,wypożyczenie,Odejścia,300 tys. €,Ingulets Petrowe,1.liga,Ukraina,wypożyczenie
7147,Desna Czernigów,1.liga,Ukraina,Vladyslav Vakula,21,Prawy napastnik,PNP,Ukraina,koniec wypżyczenia29 sty 2021,Odejścia,500 tys. €,Szachtar Donieck,1.liga,Ukraina,koniec wypżyczenia29 sty 2021
7148,Desna Czernigów,1.liga,Ukraina,Mykhaylo Mudryk,20,Lewy napastnik,LNP,Ukraina,koniec wypżyczenia8 sty 2021,Odejścia,900 tys. €,Szachtar Donieck II,,,koniec wypżyczenia8 sty 2021
7149,Desna Czernigów,1.liga,Ukraina,Orest Kuzyk,25,Lewy napastnik,LNP,Ukraina,koniec wypżyczenia31 lip 2020,Odejścia,300 tys. €,PAS Giannina,1.liga,Grecja,koniec wypżyczenia31 lip 2020
7150,FK Oleksandriya,1.liga,Ukraina,Maksym Tretyakov,24,Lewy napastnik,LNP,Ukraina,100 tys. €,Nabytki,700 tys. €,DAC Dunajska Streda,1.liga,Słowacja,100 tys. €
7151,FK Oleksandriya,1.liga,Ukraina,Vadym Yanchak,21,Prawy pomocnik,PPM,Ukraina,bez odstępnego,Nabytki,-,FK Sambir,,,bez odstępnego
7152,FK Oleksandriya,1.liga,Ukraina,Ivan Kalyuzhnyi,23,Środkowy pomocnik,ŚPM,Ukraina,bez odstępnego,Nabytki,200 tys. €,Dynamo Kijów II,,,bez odstępnego
7153,FK Oleksandriya,1.liga,Ukraina,Denys Ustymenko,21,Środkowy napastnik,ŚNP,Ukraina,-,Nabytki,200 tys. €,FK Oleksandriya II,,,-
7154,FK Oleksandriya,1.liga,Ukraina,Oleksandr Melnyk,20,Środkowy obrońca,ŚOB,Ukraina,-,Nabytki,200 tys. €,FK Oleksandriya II,,,-
7155,FK Oleksandriya,1.liga,Ukraina,Roman Vantukh,22,Lewy obrońca,LOB,Ukraina,wypożyczenie,Nabytki,500 tys. €,Dynamo Kijów,1.liga,Ukraina,wypożyczenie
7156,FK Oleksandriya,1.liga,Ukraina,Valeriy Bondarenko,26,Środkowy obrońca,ŚOB,Ukraina,wypożyczenie,Nabytki,600 tys. €,Szachtar Donieck,1.liga,Ukraina,wypożyczenie
7157,FK Oleksandriya,1.liga,Ukraina,Kyrylo Dryshlyuk,21,Środkowy pomocnik,ŚPM,Ukraina,koniec wypżyczenia31 gru 2020,Nabytki,300 tys. €,Spartaks Jurmala,1.liga,Łotwa,koniec wypżyczenia31 gru 2020
7158,FK Oleksandriya,1.liga,Ukraina,Anton Shendrik,34,Środkowy obrońca,ŚOB,Ukraina,bez odstępnego,Odejścia,-,Krymteplitsa Molodezhnoe,,,bez odstępnego
7159,FK Oleksandriya,1.liga,Ukraina,Andriy Zaporozhan,37,Defensywny pomocnik,DPM,Ukraina,bez odstępnego,Odejścia,-,NieznanyNieznany,,,bez odstępnego
7160,FK Oleksandriya,1.liga,Ukraina,Yevgen Protasov,23,Prawy napastnik,PNP,Ukraina,bez odstępnego,Odejścia,250 tys. €,Wołyń Łuck,2.liga,Ukraina,bez odstępnego
7161,FK Oleksandriya,1.liga,Ukraina,Maksym Zaderaka,26,Prawy napastnik,PNP,Ukraina,bez odstępnego,Odejścia,250 tys. €,FC Ararat Erewan,1.liga,Armenia,bez odstępnego
7162,FK Oleksandriya,1.liga,Ukraina,Dmytro Rudyk,28,Bramkarz,BRK,Ukraina,bez odstępnego,Odejścia,-,NieznanyNieznany,,,bez odstępnego
7163,FK Oleksandriya,1.liga,Ukraina,Oleksiy Dovgyi,31,Defensywny pomocnik,DPM,Ukraina,bez odstępnego,Odejścia,200 tys. €,PFC Lviv,1.liga,Ukraina,bez odstępnego
7164,FK Oleksandriya,1.liga,Ukraina,Denys Bezborodko,26,Środkowy napastnik,ŚNP,Ukraina,bez odstępnego,Odejścia,700 tys. €,Desna Czernigów,1.liga,Ukraina,bez odstępnego
7165,FK Oleksandriya,1.liga,Ukraina,Vasyl Grytsuk,33,Ofensywny pomocnik,OPM,Ukraina,bez odstępnego,Odejścia,125 tys. €,FK Polissya Zhytomyr,2.liga,Ukraina,bez odstępnego
